Version,game_id,score,max_tile,steps,duration_sec
v2,35,3896,128,295,49.5696702003479
v2,36,8168,256,521,105.87503910064696
v2,37,42836,2048,1913,374.26462864875793
v2,38,8692,256,528,103.87117838859558
v2,39,26084,1024,1241,244.3688607215881
v2,40,10096,512,578,113.06275653839111
v2,41,34832,1024,1595,272.1238317489624
v2,132,12116,512,672,23.988354206085205
v2,133,12712,512,722,27.24696254730225
v2,134,16032,512,856,36.24484848976135
v2,135,3612,128,292,10.282322883605955
v2,136,26908,1024,1294,50.811352491378784
v2,137,8180,256,516,19.418646097183228
v2,138,3936,128,303,12.523481845855711
v2,139,53600,2048,2247,84.4509551525116
v2,140,7120,256,453,20.768129110336304
v2,141,41152,2048,1828,73.49752855300903
v2,142,9628,512,550,21.924699544906616
v2,143,12980,512,730,26.991121768951416
v2,144,8176,256,510,19.861123085021973
v2,145,11824,512,680,28.1526141166687
v2,146,30508,2048,1352,54.20608186721802
v2,147,12316,512,689,50.11446380615234
v2,148,16320,512,866,1493.2724494934082
v2,149,22464,1024,1140,696.8692195415497
v2,150,17608,1024,893,481.9126284122467
v2,151,14676,512,784,25.51658844947815
v2,152,14536,512,784,26.3133647441864
v2,153,7276,256,463,18.603130102157596
v2,154,25708,1024,1224,45.37662076950073
v2,155,52532,2048,2279,73.09196758270264
v2,156,30424,1024,1393,50.922621965408325
v2,157,4936,128,357,12.932954788208008
v2,158,12976,512,720,27.98266816139221
v2,159,16984,1024,861,38.98325657844544
v2,160,12056,512,679,30.460575342178345
v2,161,5248,256,352,15.530193567276
v2,162,31644,1024,1477,95.73703598976137
v2,163,16964,512,936,82.55701732635498
v2,164,26580,1024,1256,105.4318552017212
v2,165,8004,256,504,43.92245864868164
v2,166,14484,512,776,62.92525267601013
v2,167,30276,2048,1380,117.71152544021606
v2,168,16252,512,880,64.39080476760864
v2,169,12856,512,720,55.71147680282593
v2,170,7868,256,478,33.95077133178711
v2,171,16888,512,917,66.52540493011475
v2,172,8528,256,530,40.585078954696655
v2,173,12760,512,728,54.80344438552856
v2,174,16248,512,877,59.57694745063782
v2,175,7728,256,497,38.32375025749207
v2,176,20968,1024,1048,69.85074806213379
v2,177,27020,1024,1309,100.5332841873169
v2,178,8768,256,530,40.96193218231201
v2,179,7724,256,488,40.41329836845398
v2,180,23528,1024,1141,86.4161286354065
v2,181,16192,512,893,60.59421110153198
v2,182,33068,1024,1563,107.5605936050415
v2,183,7616,256,487,33.38222098350525
v2,184,16344,512,880,60.79276418685913
v2,185,25200,1024,1188,86.00969767570496
